Episode 362: steps,33, reward,-132.0, global_total_steps,63133
Episode 363: steps,55, reward,-451.0, global_total_steps,63188
Episode 364: steps,70, reward,-565.0, global_total_steps,63258
Episode 365: steps,79, reward,-475.0, global_total_steps,63337
Episode 366: steps,33, reward,-33.0, global_total_steps,63370
Episode 367: steps,33, reward,-33.0, global_total_steps,63403
Episode 368: steps,31, reward,-31.0, global_total_steps,63434
Episode 369: steps,74, reward,-371.0, global_total_steps,63508
Episode 370: steps,95, reward,-590.0, global_total_steps,63603
Episode 371: steps,31, reward,-31.0, global_total_steps,63634
Episode 372: steps,137, reward,-731.0, global_total_steps,63771
Episode 373: steps,99, reward,-693.0, global_total_steps,63870
Episode 374: steps,31, reward,-31.0, global_total_steps,63901
Episode 375: steps,33, reward,-33.0, global_total_steps,63934
Episode 376: steps,63, reward,-360.0, global_total_steps,63997
Episode 377: steps,55, reward,-253.0, global_total_steps,64052
Episode 378: steps,93, reward,-390.0, global_total_steps,64145
Episode 379: steps,69, reward,-465.0, global_total_steps,64214
Episode 380: steps,76, reward,-769.0, global_total_steps,64290
Episode 381: steps,161, reward,-1052.0, global_total_steps,64451
Episode 382: steps,31, reward,-31.0, global_total_steps,64482
Episode 383: steps,34, reward,-133.0, global_total_steps,64516
Episode 384: steps,43, reward,-241.0, global_total_steps,64559
Episode 385: steps,154, reward,-748.0, global_total_steps,64713
Episode 386: steps,117, reward,-513.0, global_total_steps,64830
Episode 387: steps,39, reward,-39.0, global_total_steps,64869
Episode 388: steps,39, reward,-39.0, global_total_steps,64908
Episode 389: steps,90, reward,-486.0, global_total_steps,64998
Episode 390: steps,75, reward,-372.0, global_total_steps,65073
Episode 391: steps,93, reward,-489.0, global_total_steps,65166
Episode 392: steps,87, reward,-384.0, global_total_steps,65253
Episode 393: steps,76, reward,-472.0, global_total_steps,65329
Episode 394: steps,33, reward,-33.0, global_total_steps,65362
Episode 395: steps,80, reward,-278.0, global_total_steps,65442
Episode 396: steps,81, reward,-378.0, global_total_steps,65523
Episode 397: steps,126, reward,-918.0, global_total_steps,65649
Episode 398: steps,103, reward,-499.0, global_total_steps,65752
Episode 399: steps,65, reward,-263.0, global_total_steps,65817
